product,revenue,units_sold
REGENCY CAKESTAND 3 TIER,286486.3,24899
WHITE HANGING HEART T-LIGHT HOLDER,252072.46,93640
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
Manual,152340.57,9803
JUMBO BAG RED RETROSPOT,136980.08,75759
ASSORTED COLOUR BIRD ORNAMENT,127074.17,79913
POSTAGE,126563.04,5333
PARTY BUNTING,103880.23,23607
MEDIUM CERAMIC TOP STORAGE JAR,81416.73,77916
PAPER CHAIN KIT 50'S CHRISTMAS ,79594.33,29477
CHILLI LIGHTS,72860.14,15735
BLACK RECORD COVER FRAME,67209.44,19629
JUMBO BAG STRAWBERRY,64601.65,36098
WOOD BLACK BOARD ANT WHITE FINISH,60513.09,10893
ROTATING SILVER ANGELS T-LIGHT HLDR,57779.17,29498
VINTAGE UNION JACK BUNTING,54815.12,6542
EDWARDIAN PARASOL NATURAL,54741.46,11027
JUMBO  BAG BAROQUE BLACK WHITE,53168.34,29447
CREAM HEART CARD HOLDER,52627.29,18113
HEART OF WICKER LARGE,52157.68,17866
